地名,センター,生活ごみ,缶・びん,ペットボトル,プラ容器包装,小型金属,古紙類
南花田町（ただし、233の3 20から23、235から275番地を除く）,東工場,月 木,金2 金4,金1 金3,火,土4,
南花田町 233の3 20から23、235から275番地,東工場,火 金,水2 水4,水1 水3,土,木4,
宮本町,東工場,火 金,水2 水4,水1 水3,土,木4,
百舌鳥赤畑町1から5丁,東工場,月 木,火1 火3,火2 火4,金,土4,
百舌鳥梅北町1から5丁,東工場,月 木,火1 火3,火2 火4,金,土4,
百舌鳥梅町1から2丁,東工場,月 木,火1 火3,火2 火4,金,土4,
百舌鳥梅町3丁,東工場,火 金,土1 土3,土2 土4,水,木4,
百舌鳥西之町1丁（ただし､75から150番地を除く）、2から3丁,東工場,月 木,火1 火3,火2 火4,金,土4,
百舌鳥西之町1丁75から150番地,東工場,水 土,火1 火3,火2 火4,金,土4,
百舌鳥本町1丁、2丁（ただし、524から528番地を除く）、3丁,東工場,水 土,火1 火3,火2 火4,金,土4,
百舌鳥本町2丁524から528番地,東工場,月 木,火1 火3,火2 火4,金,土4,
百舌鳥陵南町1から2丁,東工場,水 土,火1 火3,火2 火4,金,土4,
百舌鳥陵南町3丁,東工場,月 木,火1 火3,火2 火4,金,土4,
八下北,東工場,月 木,金2 金4,金1 金3,火,土4,
阿弥,東工場,火 金,土2 土4,土1 土3,水,木4,木2
石原,東工場,水 土,木2 木4,木1 木3,月,火4,金2
今井,東工場,火 金,月1 月3,月2 月4,木,土4,水2
大饗,東工場,水 土,木2 木4,木1 木3,月,火4,金2
北余部（23から47、52から53番地を除く）,東工場,月 木,火2 火4,火1 火3,金,土4,水2
北余部23から47、52から53番地,東工場,水 土,木2 木4,木1 木3,月,火4,金2
北余部西1から4丁,東工場,水 土,木2 木4,木1 木3,月,火4,金2
黒山（72から78、263から267、269から310、512から613、643から728番地を除く）,東工場,火 金,土2 土4,土1 土3,水,木4,木2
黒山72から78、263から267、269から310、512から613、643から728番地　,東工場,火 金,月1 月3,月2 月4,木,土4,水2
小寺,東工場,水 土,木2 木4,木1 木3,月,火4,金2
小平尾,東工場,月 木,水1 水3,水2 水4,土,火4,金2
さつき野西1から3丁,東工場,月 木,金1 金3,金2 金4,火,土4,水2
さつき野東1から3丁,東工場,月 木,金1 金3,金2 金4,火,土4,水2
真福寺,東工場,火 金,月1 月3,月2 月4,木,土4,水2
菅生,東工場,月 木,水1 水3,水2 水4,土,火4,金2
青南台1から2丁,東工場,月 木,水1 水3,水2 水4,土,火4,金2
太井,東工場,月 木,火2 火4,火1 火3,金,土4,水2
大保,東工場,火 金,月1 月3,月2 月4,木,土4,水2
多治井,東工場,火 金,月1 月3,月2 月4,木,土4,水2
丹上,東工場,火 金,月1 月3,月2 月4,木,土4,水2
丹南,東工場,火 金,月1 月3,月2 月4,木,土4,水2
平尾,東工場,月 木,水1 水3,水2 水4,土,火4,金2
菩提,東工場,水 土,木2 木4,木1 木3,月,火4,金2
南余部,東工場,火 金,土2 土4,土1 土3,水,木4,木2
南余部西1から3丁,東工場,水 土,木2 木4,木1 木3,月,火4,金2
木材通1から4丁,東工場,月 木,水1 水3,水2 水4,土,火4,金2
